"Job_Number","Account_Code","Customer_Name","Job_Type","Del_Type","Work_Type","OrderNo","Ref2","Ref3","Goods","Quantity","Weight","Distance","Volume","Collection_Add_1","Collection_Add_2","Collection_Add_3","Collection_Add_4","Collection_Add_5","Collection_PostCode","Collection_Date","Collection_Time","Delivery_Add_1","Delivery_Add_2","Delivery_Add_3","Delivery_Add_4","Delivery_Add_5","Delivery_PostCode","Delivery_Date","Delivery_Time","Notes","Instructions","Job_Rate"
35036,"K/2","KDM International Ltd","HSU","","GEN","","","16/06/2016K/22","Timber",0,25000,0,0,"KDM Depot BSE","Symonds Farm","Newmarket Road","Bury St Edmonds","","IP28 6RE",01/07/2016,"08:00-16:00","","","","Swansea","","",04/07/2016,"08:00-12:00","Artic Taut","",0
35015,"W/5","Woodbridge Timber Ltd","HSU","","GEN","","","17/06/2016W/52","Timber",0,26000,0,0,"Global Shipping","TTS, No 1 Quay","Immingham Docks","Immingham","","DN40 2LZ",01/07/2016,"08:00-16:00","","","","Saltash","","PL12",04/07/2016,"08:00-12:00","Artic Taut 86 Internal","",0
35016,"W/5","Woodbridge Timber Ltd","HSU","","GEN","","","28/06/2016W/53","Timber",0,26000,0,0,"Global Shipping","TTS, No 1 Quay","Immingham Docks","Immingham","","DN40 2LZ",01/07/2016,"08:00-16:00","","","","Stafford","","ST11",04/07/2016,"08:00-12:00","Artic Taut 86 Internal","",0
35019,"W/5","Woodbridge Timber Ltd","HSU","","GEN","","","30/06/2016W/56","Timber",0,26000,0,0,"Global Shipping","TTS, No 1 Quay","Immingham Docks","Immingham","","DN40 2LZ",01/07/2016,"08:00-16:00","","","","Exeter x 2","","EX1",04/07/2016,"08:00-12:00","Artic Taut 86 Internal","",0
35049,"W/5","Woodbridge Timber Ltd","HSU","","GEN","","","30/06/2016W/510","Timber",0,26000,0,0,"Global Shipping","TTS, No 1 Quay","Immingham Docks","Immingham","","DN40 2LZ",01/07/2016,"08:00-16:00","","","","Uttoxeter","","",04/07/2016,"08:00-12:00","Artic Taut 86 Internal","",0
35052,"S/39","Eddie Stobart Ltd","CSU","","GEN","","","","Pallets",0,0,0,0,"Wincaton","Magna Park","Wellington Parkway","Lutterworth","","LE17 4XW",01/07/2016,"18:00","Redruth","","","","","",04/07/2016,"18:00","Barnstaple 1st drop","",400
35029,"N/8","Nexus Operating Group Ltd","HSU","","GEN","3096.05","","16/06/2016N/82","Pallets",0,23000,0,0,"Nexus Operatiing Group","Nexus Airfield","Chaplefield Rd, Goxhill","Scunthorpe","","DN19 7NE",04/07/2016,"08:00-16:00","","","","Skegness","","PE25",05/07/2016,"08:00-08:00","Artic Taut","",0
35017,"W/5","Woodbridge Timber Ltd","HSU","","GEN","","","28/06/2016W/54","Timber",0,26000,0,0,"Global Shipping","TTS, No 1 Quay","Immingham Docks","Immingham","","DN40 2LZ",04/07/2016,"08:00-16:00","","","","Ilkeston","","DE1",05/06/2017,"08:00-12:00","Artic Taut 86 Internal","",0
35020,"L/4","Lacy & Middlemiss Shipbrokers ","HSU","","GEN","","","16/06/2016L/42","Timber",0,25000,0,0,"Sussex Port Forwarding","Gate 1, Basin Road South","Port Slate","Shoreham","","BN41 1WF",04/07/2016,"08:00-16:00","","","","Purfleet","","",04/07/2016,"08:00-16:00","Artic Taut","",180
35045,"W/5","Woodbridge Timber Ltd","HSU","","GEN","","","30/06/2016W/55","Timber",0,26000,0,0,"Global Shipping","TTS, No 1 Quay","Immingham Docks","Immingham","","DN40 2LZ",04/07/2016,"08:00-16:00","","","","Newmarket","","CB8",05/07/2016,"08:00-12:00","Artic Taut 86 Internal","",0
35051,"W/5","Woodbridge Timber Ltd","HSU","","GEN","","","30/06/2016W/512","Timber",0,26000,0,0,"Global Shipping","TTS, No 1 Quay","Immingham Docks","Immingham","","DN40 2LZ",04/07/2016,"08:00-16:00","","","","Hull","","HU7",05/07/2016,"08:00-12:00","Artic Taut 86 Internal","",0
35021,"L/4","Lacy & Middlemiss Shipbrokers ","HSU","","GEN","","","30/06/2016L/43","Timber",0,25000,0,0,"Sussex Port Forwarding","Gate 1, Basin Road South","Port Slate","Shoreham","","BN41 1WF",05/07/2016,"08:00-16:00","","","","Purfleet","","",05/07/2016,"08:00-16:00","Artic Taut","",180
35022,"L/4","Lacy & Middlemiss Shipbrokers ","HSU","","GEN","","","30/06/2016L/44","Timber",0,25000,0,0,"Sussex Port Forwarding","Gate 1, Basin Road South","Port Slate","Shoreham","","BN41 1WF",05/07/2016,"08:00-16:00","","","","Purfleet","","",05/07/2016,"08:00-16:00","Artic Taut","",180
35023,"L/4","Lacy & Middlemiss Shipbrokers ","HSU","","GEN","","","30/06/2016L/45","Timber",0,25000,0,0,"Sussex Port Forwarding","Gate 1, Basin Road South","Port Slate","Shoreham","","BN41 1WF",05/07/2016,"08:00-16:00","","","","Purfleet","","",05/07/2016,"08:00-16:00","Artic Taut","",180
35030,"N/8","Nexus Operating Group Ltd","HSU","","GEN","3078.04","","21/06/2016N/84","Pallets",0,24000,0,0,"Nexus Operatiing Group","Nexus Airfield","Chaplefield Rd, Goxhill","Scunthorpe","","DN19 7NE",05/07/2016,"08:00-16:00","Soft Surfaces","Sixways Stadiums","Warriors Way","Worcester","","WR3 8ZE",06/07/2016,"10:00-10:00","Artic Taut","",280
35055,"N/8","Nexus Operating Group Ltd","HSU","","GEN","3194.02","","30/06/2016N/84","Pallets",0,27500,0,0,"Nexus Operatiing Group","Nexus Airfield","Chaplefield Rd, Goxhill","Scunthorpe","","DN19 7NE",05/07/2016,"08:00-16:00","","","","Edinburgh","","EH1",06/07/2016,"08:00-08:00","Artic Taut","",450
35054,"N/8","Nexus Operating Group Ltd","HSU","","GEN","3194.01","","30/06/2016N/83","Pallets",0,27500,0,0,"Nexus Operatiing Group","Nexus Airfield","Chaplefield Rd, Goxhill","Scunthorpe","","DN19 7NE",05/07/2016,"08:00-16:00","","","","Edinburgh","","EH1",06/07/2016,"08:00-08:00","Artic Taut","",450
35024,"L/4","Lacy & Middlemiss Shipbrokers ","HSU","","GEN","","","30/06/2016L/46","Timber",0,25000,0,0,"Sussex Port Forwarding","Gate 1, Basin Road South","Port Slate","Shoreham","","BN41 1WF",06/07/2016,"08:00-16:00","","","","Purfleet","","",06/07/2016,"08:00-16:00","Artic Taut","",180
35025,"L/4","Lacy & Middlemiss Shipbrokers ","HSU","","GEN","","","30/06/2016L/47","Timber",0,25000,0,0,"Sussex Port Forwarding","Gate 1, Basin Road South","Port Slate","Shoreham","","BN41 1WF",06/07/2016,"08:00-16:00","","","","Purfleet","","",06/07/2016,"08:00-16:00","Artic Taut","",180
35026,"L/4","Lacy & Middlemiss Shipbrokers ","HSU","","GEN","","","30/06/2016L/48","Timber",0,25000,0,0,"Sussex Port Forwarding","Gate 1, Basin Road South","Port Slate","Shoreham","","BN41 1WF",06/07/2016,"08:00-16:00","","","","Purfleet","","",06/07/2016,"08:00-16:00","Artic Taut","",180
35003,"N/8","Nexus Operating Group Ltd","HSU","","GEN","3078.05","","21/06/2016N/85","Pallets",0,24000,0,0,"Nexus Operatiing Group","Nexus Airfield","Chaplefield Rd, Goxhill","Scunthorpe","","DN19 7NE",06/07/2016,"08:00-16:00","Soft Surfaces","Sixways Stadiums","Warriors Way","Worcester","","WR3 8ZE",07/07/2016,"10:00-10:00","Artic Taut","",280
35031,"N/8","Nexus Operating Group Ltd","HSU","","GEN","3078.06","","29/06/2016N/86","Pallets",0,14000,0,0,"Nexus Operatiing Group","Nexus Airfield","Chaplefield Rd, Goxhill","Scunthorpe","","DN19 7NE",07/07/2016,"08:00-16:00","Soft Surfaces","Sixways Stadiums","Warriors Way","Worcester","","WR3 8ZE",08/07/2016,"10:00-10:00","ArticRigid Taut","",260
